"Invoice_Number","Sales_Order_Number","Customer_Number","invoice_date","Invoice_Amount","Payment_Status","payment_date","Payment_Amount","Created_By","created_on","Approved_By","approved_on"
"173640036807","000008175892","0237915",2014-01-02,25448.38,"Paid",2014-02-28,25448.38,"0000127199",2014-01-02,"0000125235",2014-01-05
"173640036810","000008175895","0254821",2014-01-01,6811.11,"Paid",2014-01-08,0,"0000127561",2014-01-01,"0000125235",2014-01-02
"173640036812","000008175897","0234919",2014-01-01,7092.45,"Paid",2014-02-08,7092.45,"0000125640",2014-01-01,"0000124928",2014-01-05
"173640036816","000008175901","0240614",2014-01-09,2429.97,"Paid",2014-01-26,2429.97,"0000126613",2014-01-09,"0000124928",2014-01-13
"173640036818","000008175903","0243160",2014-01-06,4586.11,"Paid",2014-03-25,4586.11,"0000125170",2014-01-06,"0000124928",2014-01-09
"173640036820","000008175905","0247543",2014-01-01,3636.57,"Paid",2014-01-29,3636.57,"0000125170",2014-01-01,"0000124928",2014-01-05
"173640036824","000008175909","0255294",2014-01-06,10990.23,"Paid",2014-01-25,10990.23,"0000125548",2014-01-06,"0000124928",2014-01-07
"173640036829","000008175914","0238314",2014-01-02,21731.83,"Paid",2014-01-09,0,"0000127205",2014-01-02,"0000125235",2014-01-07
"173640036839","000008175924","0235266",2014-01-01,14623.21,"Paid",2014-01-30,14623.21,"0000126613",2014-01-01,"0000124928",2014-01-05
"173640036842","000008175927","0239726",2014-01-05,7306.26,"Paid",2014-02-27,7306.26,"0000125170",2014-01-05,"0000124928",2014-01-06
"173640036843","000008175928","0245481",2014-01-02,3764.86,"Paid",2014-02-18,3764.86,"0000127561",2014-01-02,"0000125235",2014-01-06
"173640036844","000008175929","0236763",2014-01-01,2313.7,"Paid",2014-03-15,2313.7,"0000125170",2014-01-01,"0000125235",2014-01-07
"173640036850","000008175935","0253161",2014-01-01,1776.49,"Paid",2014-02-17,1776.49,"0000127199",2014-01-01,"0000124928",2014-01-08
"173640036851","000008175936","0243575",2014-01-08,16772.35,"Paid",2014-01-27,16772.35,"0000125435",2014-01-08,"0000124928",2014-01-16
"173640036852","000008175937","0264547",2014-01-01,15403.47,"Paid",2014-01-28,15403.47,"0000125435",2014-01-01,"0000125235",2014-01-02
"173640036853","000008175938","0250143",2014-01-09,3961.31,"Paid",2014-04-13,3961.31,"0000125640",2014-01-09,"0000124928",2014-01-15
"173640036856","000008175941","0237282",2014-01-05,17952.84,"Paid",2014-01-10,17952.84,"0000127199",2014-01-05,"0000125235",2014-01-07
"173640036858","000008175943","0248228",2014-01-09,2542.67,"Paid",2014-05-24,2542.67,"0000127205",2014-01-09,"0000124928",2014-01-16
"173640036859","000008175944","0249376",2014-01-06,31520.26,"Paid",2014-01-13,31520.26,"0000125170",2014-01-06,"0000124928",2014-01-09
"173640036860","000008175945","0257115",2014-01-09,3556.71,"Paid",2014-02-19,3556.71,"0000127199",2014-01-09,"0000125235",2014-01-13
"173640036861","000008175946","0258484",2014-01-14,3040.18,"Paid",2014-03-06,3040.18,"0000125493",2014-01-14,"0000125235",2014-01-15
"173640036862","000008175947","0257755",2014-01-02,2417.52,"Paid",2014-03-24,2417.52,"0000125435",2014-01-02,"0000124928",2014-01-06
"173640036863","000008175948","0234500",2014-01-13,20109.87,"Paid",2014-03-12,20109.87,"0000126613",2014-01-13,"0000125235",2014-01-23
"173640036864","000008175949","0249618",2014-01-12,15867.53,"Paid",2015-03-30,15867.53,"0000125640",2014-01-12,"0000124928",2014-01-16
"173640036865","000008175950","0249939",2014-01-15,12609.49,"Paid",2014-02-15,12609.49,"0000126613",2014-01-15,"0000124928",2014-01-19
"173640036866","000008175951","0260422",2014-01-16,5141.62,"Paid",2014-04-05,5141.62,"0000127205",2014-01-16,"0000124928",2014-01-20
"173640036867","000008175952","0252073",2014-01-16,2137.75,"Paid",2014-01-17,2137.75,"0000125548",2014-01-16,"0000124928",2014-01-21
"173640036868","000008175953","0234356",2014-01-13,3942.57,"Paid",2014-01-19,3942.57,"0000125548",2014-01-13,"0000125235",2014-01-14
"173640036869","000008175954","0238504",2014-01-16,5577.74,"Paid",2014-02-25,5577.74,"0000125493",2014-01-16,"0000124928",2014-01-20
"173640036870","000008175955","0246388",2014-01-22,1370.61,"Paid",2014-02-10,1370.61,"0000125435",2014-01-22,"0000124928",2014-01-30
"173640036871","000008175956","0246597",2014-01-22,4177.02,"Paid",2014-02-04,4177.02,"0000126613",2014-01-22,"0000125235",2014-01-28
"173640036872","000008175957","0235291",2014-01-12,2447.42,"Paid",2014-02-09,2447.42,"0000127205",2014-01-12,"0000124928",2014-01-14
"173640036873","000008175958","0247161",2014-01-07,3455.11,"Paid",2014-01-14,0,"0000125640",2014-01-07,"0000125235",2014-01-08
"173640036874","000008175959","0246681",2014-01-09,2439.56,"Paid",2014-04-08,2439.56,"0000127199",2014-01-09,"0000125235",2014-01-13
"173640036875","000008175960","0242140",2014-01-06,27137.43,"Paid",2014-06-17,27137.43,"0000125170",2014-01-06,"0000125235",2014-01-14
"173640036876","000008175961","0249141",2014-01-08,11851.05,"Paid",2014-02-19,11851.05,"0000125170",2014-01-08,"0000125235",2014-01-09
"173640036877","000008175962","0257142",2014-01-30,2659.19,"Paid",2014-02-19,2659.19,"0000125548",2014-01-30,"0000125235",2014-02-04
"173640036878","000008175963","0253259",2014-01-15,9452.37,"Paid",2014-12-31,9452.37,"0000127205",2014-01-15,"0000125235",2014-01-19
